Purpose,EntryPeriod,ReturnPeriod,Percent
1,7,10,0.0
1,7,11,0.0
1,7,12,0.0
1,7,13,0.0
1,7,14,0.00019258414213537618
1,7,15,0.0
1,7,16,0.0
1,7,17,0.0
1,7,18,0.0
1,7,19,0.0
1,7,20,0.0
1,7,21,0.0
1,7,22,0.0
1,7,23,0.0
1,7,24,0.000712254883647085
1,7,25,0.0
1,7,26,0.0
1,7,27,0.0
1,7,28,0.0
1,7,29,2.990184226971226e-05
1,7,30,5.978377703565551e-05
1,7,31,0.00013032414362053798
1,7,32,0.0
1,7,33,0.00010105140674762711
1,7,34,0.00010105140674762711
1,7,35,0.0
1,7,36,2.9945384394004266e-05
1,7,37,0.0
1,7,38,2.787396373364486e-05
1,7,39,0.0
1,7,40,0.0
1,7,41,3.580981822310291e-05
1,7,42,3.580981822310291e-05
1,7,43,0.0
1,7,44,0.0
1,7,45,0.0
1,7,46,0.0
1,7,47,0.0
1,7,48,0.0
1,8,1,0.0
1,8,2,0.0
1,8,3,0.0
1,8,4,0.0
1,8,5,0.0
1,8,6,0.0
1,8,7,0.0
1,8,8,0.0
1,8,9,0.0
1,8,10,0.0
1,8,11,0.0
1,8,12,1.5233764360993805e-05
1,8,13,0.0
1,8,14,0.0
1,8,15,0.00010403221530715845
1,8,16,0.0
1,8,17,0.0
1,8,18,0.0
1,8,19,0.0
1,8,20,0.0
1,8,21,0.0
1,8,22,0.0002524166556736269
1,8,23,0.0
1,8,24,0.0
1,8,25,5.5451006804996516e-05
1,8,26,0.00022182292135929465
1,8,27,5.448572080278887e-05
1,8,28,0.00029969910129464455
1,8,29,0.0002989397186123854
1,8,30,0.00014946955066273018
1,8,31,6.515114032626402e-05
1,8,32,0.0
1,8,33,3.369122106550832e-05
1,8,34,0.00010105140674762711
1,8,35,0.0
1,8,36,0.00032931994600357274
1,8,37,0.00022293646917782387
1,8,38,5.572937004754683e-05
1,8,39,0.0
1,8,40,0.0
1,8,41,0.00039381319165806905
1,8,42,0.0
1,8,43,0.0008077236910599313
1,8,44,0.0
1,8,45,0.0
1,8,46,0.0
1,8,47,0.0
1,8,48,0.0
1,9,1,0.0
1,9,2,8.577079575686595e-05
1,9,3,0.0
1,9,4,0.0
1,9,5,0.0
1,9,6,0.0
1,9,7,0.0
1,9,8,0.0
1,9,9,0.0
1,9,10,0.0
1,9,11,0.0
1,9,12,0.0
1,9,13,0.0
1,9,14,2.9710992440780163e-05
1,9,15,0.0
1,9,16,8.426004882145923e-05
1,9,17,0.0
1,9,18,0.0
1,9,19,0.0
1,9,20,4.2774602952986795e-05
1,9,21,0.0
1,9,22,0.0
1,9,23,0.0
1,9,24,0.00011834305721264554
1,9,25,0.00011978258496343714
1,9,26,0.00011978258496343714
1,9,27,0.0003678078576192762
1,9,28,0.0002501104368256467
1,9,29,0.0005165672699301869
1,9,30,0.0014205714505254497
1,9,31,0.00015833247429634752
1,9,32,0.0015481097800406926
1,9,33,0.000563849929730559
1,9,34,0.0006729714219329334
1,9,35,0.0012933099637105366
1,9,36,0.00045266028155607687
1,9,37,0.0006922089313952042
1,9,38,0.000662116065690933
1,9,39,0.0002907865122845405
1,9,40,0.0001777061581140211
1,9,41,0.0001546577775255451
1,9,42,1.933701245818251e-05
1,9,43,0.0
1,9,44,0.0
1,9,45,0.0
1,9,46,3.4123390432609486e-05
1,9,47,0.0
1,9,48,2.361952298424853e-05
1,10,1,0.0
1,10,2,0.0
1,10,3,0.0
1,10,4,0.0
1,10,5,0.0
1,10,6,0.0
1,10,7,0.0
1,10,8,0.0
1,10,9,0.0
1,10,10,0.0
1,10,11,0.0
1,10,12,1.6446742669679767e-05
1,10,13,0.0
1,10,14,0.00010399388046367761
1,10,15,0.0
1,10,16,0.0
1,10,17,0.0
1,10,18,0.0
1,10,19,0.0
1,10,20,0.00015683699687423934
1,10,21,0.00036802473142517433
1,10,22,4.089264537157095e-05
1,10,23,4.437986828122622e-05
1,10,24,1.4796547630992508e-05
1,10,25,0.00028448479868396016
1,10,26,0.0001946455411698821
1,10,27,0.0006032026992064426
1,10,28,0.002074423497028118
1,10,29,0.001662708998964324
1,10,30,1.6146753186225266e-05
1,10,31,0.0014249586674704513
1,10,32,0.0028323321029207417
1,10,33,0.001364148694318965
1,10,34,0.0003637752385834576
1,10,35,0.0006951495885554966
1,10,36,0.0012609699332705696
1,10,37,0.0022873017120550974
1,10,38,0.0012640347478142903
1,10,39,0.0001453986768605614
1,10,40,0.0002584798649876986
1,10,41,0.0003093155550511851
1,10,42,0.0
1,10,43,0.0004579636981655785
1,10,44,0.0005452019550441713
1,10,45,0.00013650518878879616
1,10,46,0.0
1,10,47,0.0
1,10,48,0.0
1,11,1,0.0
1,11,2,0.0
1,11,3,0.0
1,11,4,0.0
1,11,5,0.0
1,11,6,0.0
1,11,7,0.0
1,11,8,0.0
1,11,9,0.0
1,11,10,0.0
1,11,11,0.0
1,11,12,0.0
1,11,13,0.0
1,11,14,0.0002452248631054621
1,11,15,8.917380353638037e-06
1,11,16,0.0
1,11,17,0.0
1,11,18,0.0
1,11,19,4.525698338842588e-05
1,11,20,9.956781190458576e-05
1,11,21,4.326580831911033e-05
1,11,22,0.0001471083403951293
1,11,23,0.00010330443937100105
1,11,24,0.0005446966637350212
1,11,25,9.507837238965215e-06
1,11,26,0.00024714056680536764
1,11,27,4.669923712310654e-05
1,11,28,0.00043898414989081196
1,11,29,0.001434758516042369
1,11,30,0.0011785508635185696
1,11,31,0.0018427804263607007
1,11,32,0.0020884839835477596
1,11,33,0.0033717221788565972
1,11,34,0.002586527370511869
1,11,35,0.002504219529982416
1,11,36,0.0020526384552521145
1,11,37,0.0015380722359972178
1,11,38,0.0013661166214601395
1,11,39,0.0004922865282950012
1,11,40,0.000656389096880826
1,11,41,0.0008222941363302387
1,11,42,0.0005277411263423865
1,11,43,0.0006783932017955161
1,11,44,0.00040149475021340677
1,11,45,0.0001949831765469427
1,11,46,0.0
1,11,47,4.497458661983078e-05
1,11,48,0.0005546693624943136
1,12,1,0.0
1,12,2,0.0
1,12,3,0.0
1,12,4,0.0
1,12,5,0.0
1,12,6,0.0
1,12,7,0.0
1,12,8,0.0
1,12,9,0.0
1,12,10,0.0
1,12,11,0.0
1,12,12,0.0
1,12,13,0.0
1,12,14,0.0
1,12,15,0.00014264274068463882
1,12,16,0.0
1,12,17,0.0008412655980247192
1,12,18,0.00015389324543787936
1,12,19,0.00021723733311794616
1,12,20,3.620921265974009e-05
1,12,21,0.00012114772971127837
1,12,22,0.0002076795250308168
1,12,23,0.00010330443937100105
1,12,24,0.0
1,12,25,0.0008459896071525529
1,12,26,9.50533469874475e-05
1,12,27,0.0002988798812515437
1,12,28,0.0006538017592502514
1,12,29,0.00014347653935028762
1,12,30,0.0023775960326443504
1,12,31,0.005204454207165204
1,12,32,0.004109949572535414
1,12,33,0.00438785933660036
1,12,34,0.0035102890190849213
1,12,35,0.004864753064774792
1,12,36,0.004649221687863435
1,12,37,0.0029997193708556037
1,12,38,0.001719583762187328
1,12,39,0.0020819764567491105
1,12,40,0.0014255873598681978
1,12,41,0.0008345700294410857
1,12,42,0.000601381279524706
1,12,43,0.0013152519217316696
1,12,44,2.768705784891975e-05
1,12,45,0.0005199605430488015
1,12,46,7.582514434907981e-05
1,12,47,1.499483073918978e-05
1,12,48,0.0
1,13,1,2.222459873799775e-05
1,13,2,0.00011112299368998031
1,13,3,0.0010783693757625901
1,13,4,0.0
1,13,5,0.0
1,13,6,0.0
1,13,7,0.0
1,13,8,0.0
1,13,9,0.0
1,13,10,0.0
1,13,11,0.0
1,13,12,0.0
1,13,13,1.539716101395801e-05
1,13,14,7.69859809830627e-06
1,13,15,0.00016735339711129713
1,13,16,6.548443467841285e-05
1,13,17,0.00010885334065640175
1,13,18,0.00022607140460563762
1,13,19,0.00014774902088318163
1,13,20,0.00022162353132477248
1,13,21,3.5315835942152254e-05
1,13,22,0.00012005912310229642
1,13,23,0.00024527133061083003
1,13,24,0.0007741418245851276
1,13,25,0.00041117228977705973
1,13,26,0.00030255798186994647
1,13,27,0.0005183612498444651
1,13,28,3.0494722794856736e-05
1,13,29,0.0006105811547738607
1,13,30,0.0011626170188446688
1,13,31,0.0035913498789185592
1,13,32,0.0060979946877967265
1,13,33,0.010441927725349819
1,13,34,0.009480672708148077
1,13,35,0.009607662264550405
1,13,36,0.0057377957000638215
1,13,37,0.006237537001466008
1,13,38,0.0032201296674551983
1,13,39,0.002737156163925177
1,13,40,0.003390048621777634
1,13,41,0.0023439145020774585
1,13,42,0.0005609397972956006
1,13,43,0.000892662296011024
1,13,44,0.0004971770064687547
1,13,45,0.00033595528372670785
1,13,46,7.072591818282292e-05
1,13,47,7.340492255706033e-05
1,13,48,0.0003548144580704074
1,14,1,0.00011112299368998031
1,14,2,0.0
1,14,3,0.0
1,14,4,0.0
1,14,5,0.0
1,14,6,0.0
1,14,7,0.0
1,14,8,0.0
1,14,9,0.0
1,14,10,0.0
1,14,11,0.0
1,14,12,0.0
1,14,13,0.0
1,14,14,0.0
1,14,15,0.0
1,14,16,0.0
1,14,17,7.535732621531036e-05
1,14,18,0.00029306381618141345
1,14,19,0.0001255844730738411
1,14,20,0.0005245091929566801
1,14,21,0.00043787146596886803
1,14,22,0.00028955957727664743
1,14,23,3.832748243877922e-05
1,14,24,0.0008124608994927949
1,14,25,0.0015128058652261777
1,14,26,0.00039565431383494604
1,14,27,0.0005107373296189039
1,14,28,0.001029090740404526
1,14,29,0.0017397476811212053
1,14,30,0.002149586697167425
1,14,31,0.004976834912085826
1,14,32,0.008112434313900818
1,14,33,0.015512116030819064
1,14,34,0.012901627100187744
1,14,35,0.013586423966667073
1,14,36,0.013058715585759101
1,14,37,0.011399100213192057
1,14,38,0.004818498485104484
1,14,39,0.003046859206320391
1,14,40,0.00323938194078717
1,14,41,0.002964960305818226
1,14,42,0.0023238887043250268
1,14,43,0.0011073492566237514
1,14,44,0.000248588503234328
1,14,45,0.0009813594413555916
1,14,46,0.000442048605842656
1,14,47,4.894532925425151e-05
1,14,48,0.0003425777413061214
1,15,1,0.00014702827052090597
1,15,2,2.1007241040266276e-05
1,15,3,0.0
1,15,4,0.0
1,15,5,0.0
1,15,6,0.00019417296365354693
1,15,7,0.0
1,15,8,0.0
1,15,9,0.0
1,15,10,0.0
1,15,11,0.0
1,15,12,0.0
1,15,13,0.0
1,15,14,0.0
1,15,15,0.0
1,15,16,0.00011004549973711528
1,15,17,0.0003403259230314674
1,15,18,9.497528609072158e-05
1,15,19,0.00019551653133574487
1,15,20,8.379473682904208e-05
1,15,21,0.00010681322679542689
1,15,22,6.675571147978221e-05
1,15,23,0.00027530252228003986
1,15,24,0.0013258165036594968
1,15,25,0.0012246200753322617
1,15,26,0.001099954017272221
1,15,27,0.0007493566481192282
1,15,28,0.0006989214771508269
1,15,29,0.0008064171765329145
1,15,30,0.0007747899092189315
1,15,31,0.003644488471071724
1,15,32,0.0067547900544516724
1,15,33,0.007500466699436928
1,15,34,0.014742605685985274
1,15,35,0.020348033591533227
1,15,36,0.01518580591661225
1,15,37,0.01434171358740124
1,15,38,0.00858586507238046
1,15,39,0.006266310058330569
1,15,40,0.004557317310095737
1,15,41,0.002935099330504249
1,15,42,0.002054572668676568
1,15,43,0.0011641793310715326
1,15,44,0.0009398892550416645
1,15,45,0.001587784406877659
1,15,46,6.68518891421194e-05
1,15,47,0.00027756170875740846
1,15,48,9.251625292529569e-05
1,16,1,0.00018904289660636004
1,16,2,0.0
1,16,3,0.0
1,16,4,0.0
1,16,5,9.708620452318567e-05
1,16,6,0.0
1,16,7,0.0
1,16,8,0.0
1,16,9,0.0
1,16,10,0.0
1,16,11,0.0
1,16,12,0.0
1,16,13,0.0
1,16,14,0.0
1,16,15,0.0
1,16,16,0.0
1,16,17,0.00043530120912218894
1,16,18,0.0001108064598175023
1,16,19,0.0006913027889554182
1,16,20,0.00014663899424254852
1,16,21,0.0002603466569303533
1,16,22,0.0001935908691739522
1,16,23,0.0002608191026586556
1,16,24,0.0008114324253507372
1,16,25,0.0021339113632684657
1,16,26,0.0011952849629989163
1,16,27,0.0011168360636750485
1,16,28,0.001340202288453754
1,16,29,0.00132820611093364
1,16,30,0.0019844102539046254
1,16,31,0.003024144059289414
1,16,32,0.003989118567433565
1,16,33,0.005389290432911718
1,16,34,0.007696441026539544
1,16,35,0.016318013866622905
1,16,36,0.019833394354438403
1,16,37,0.01121689855102936
1,16,38,0.009433393857762219
1,16,39,0.005451369378059397
1,16,40,0.004952914026193222
1,16,41,0.002509034552730363
1,16,42,0.0030865931162032106
1,16,43,0.0015380018195329682
1,16,44,0.0015059560216218932
1,16,45,0.000877458974582095
1,16,46,0.00043455102937665636
1,16,47,0.0002428623657043492
1,16,48,0.00027756170875740846
1,17,1,0.0
1,17,2,4.8348768877817614e-05
1,17,3,0.0010612574049331984
1,17,4,0.0
1,17,5,0.0
1,17,6,5.5861927637266324e-05
1,17,7,0.0
1,17,8,0.0
1,17,9,0.0
1,17,10,0.0
1,17,11,0.0
1,17,12,0.0
1,17,13,0.0
1,17,14,0.0
1,17,15,0.0
1,17,16,0.0
1,17,17,6.37512132586187e-05
1,17,18,0.00010018605300269841
1,17,19,0.0003937422046838677
1,17,20,3.214570793557362e-05
1,17,21,0.0002765578509474608
1,17,22,0.0003610612973834091
1,17,23,0.0011505307381759894
1,17,24,0.002000928987144921
1,17,25,0.0024387563129485874
1,17,26,0.001839618801664837
1,17,27,0.0008208804079065931
1,17,28,0.0015505524079474043
1,17,29,0.002538334028365042
1,17,30,0.0012100338848943537
1,17,31,0.0023696356885301714
1,17,32,0.003212391719475122
1,17,33,0.004776938619705244
1,17,34,0.006437590628697259
1,17,35,0.011990369575492871
1,17,36,0.012500600194491042
1,17,37,0.01168677440197844
1,17,38,0.009524130367126208
1,17,39,0.00722016886735006
1,17,40,0.003660161533244568
1,17,41,0.0019067227916358092
1,17,42,0.002505978810707854
1,17,43,0.001499482297492581
1,17,44,0.0011922084225588906
1,17,45,0.0003462048677945815
1,17,46,0.0006058502774988609
1,17,47,0.0004258728961914144
1,17,48,0.0001463942927742817
1,18,1,0.00012087219838796006
1,18,2,0.0005801360640989619
1,18,3,0.00027930963818624413
1,18,4,0.0011729784520236727
1,18,5,0.003016244893172682
1,18,6,0.0
1,18,7,0.0
1,18,8,0.0
1,18,9,0.0
1,18,10,0.0
1,18,11,0.0
1,18,12,0.0
1,18,13,0.0
1,18,14,0.0
1,18,15,0.0
1,18,16,0.0
1,18,17,0.0
1,18,18,2.7326155824913623e-05
1,18,19,0.00011250157658429085
1,18,20,0.00022499397154018523
1,18,21,0.00016900601510540567
1,18,22,0.0005147011343738477
1,18,23,0.00021677060935703206
1,18,24,0.0010171401084507442
1,18,25,0.0008354233809197389
1,18,26,0.0010379523356503634
1,18,27,0.0017412629642258256
1,18,28,0.0010530454555755379
1,18,29,0.0010371653670362378
1,18,30,0.00232907925102319
1,18,31,0.0020721951157264265
1,18,32,0.0016755959789133232
1,18,33,0.003598073301166022
1,18,34,0.005586766514464127
1,18,35,0.005885848837126778
1,18,36,0.006478078686302538
1,18,37,0.005682250975097363
1,18,38,0.005928196352962619
1,18,39,0.005280824198305575
1,18,40,0.0023581621461167
1,18,41,0.0031488102498553466
1,18,42,0.0019829878688834186
1,18,43,0.0017698817345443297
1,18,44,0.0026793997088795903
1,18,45,0.0002404204743980345
1,18,46,0.00013463717982038144
1,18,47,0.0001463942927742817
1,18,48,0.00027947799515543314
1,19,1,7.606489017132975e-05
1,19,2,0.00015212978034255919
1,19,3,0.0
1,19,4,0.0
1,19,5,0.0
1,19,6,0.0028709053949442925
1,19,7,0.0
1,19,8,0.0
1,19,9,0.0
1,19,10,0.0
1,19,11,0.0
1,19,12,0.0
1,19,13,0.0
1,19,14,0.0
1,19,15,0.0
1,19,16,0.0
1,19,17,0.0
1,19,18,0.0
1,19,19,0.0
1,19,20,0.00016014881618275315
1,19,21,4.8348142774892215e-05
1,19,22,4.0290144793582616e-05
1,19,23,0.00010494196766325355
1,19,24,0.0004984760273548589
1,19,25,0.0013188837661926886
1,19,26,0.0003009532227236762
1,19,27,0.0006610089780162836
1,19,28,0.0006436140709019886
1,19,29,0.00087797460771832
1,19,30,0.0011165548336409285
1,19,31,0.001549598217890375
1,19,32,0.0011335990384249268
1,19,33,0.001451599756586328
1,19,34,0.0017526722604189282
1,19,35,0.0026090889724178844
1,19,36,0.007014922497265537
1,19,37,0.0033982829527441005
1,19,38,0.003754123660951997
1,19,39,0.00436456093346986
1,19,40,0.002979747280888411
1,19,41,0.0025943243124625206
1,19,42,0.0010743013541237622
1,19,43,0.002011197514250126
1,19,44,0.0019983052701476106
1,19,45,0.0008775967865439312
1,19,46,0.00029253226218127883
1,19,47,0.0
1,19,48,0.0002373176610961098
1,20,1,0.0010902648066411736
1,20,2,0.00015212978034255919
1,20,3,0.0
1,20,4,0.0
1,20,5,0.0
1,20,6,5.8589676185985945e-05
1,20,7,0.0
1,20,8,0.0
1,20,9,0.0
1,20,10,0.0
1,20,11,0.0
1,20,12,0.0
1,20,13,0.0
1,20,14,0.0
1,20,15,0.0
1,20,16,0.0
1,20,17,0.0
1,20,18,0.0
1,20,19,0.0
1,20,20,0.0
1,20,21,0.00012892874213611487
1,20,22,0.00010475397375699242
1,20,23,0.0001836492838877846
1,20,24,0.0001574137919720455
1,20,25,0.0003363593841381314
1,20,26,0.0005045395015576008
1,20,27,0.00046096671031080176
1,20,28,5.218488852106414e-05
1,20,29,0.0005630490029954085
1,20,30,0.00034355512177287585
1,20,31,0.0004991998149705436
1,20,32,0.0010815992659311503
1,20,33,0.0023333121630535404
1,20,34,0.001268805330422676
1,20,35,0.0013762225023447436
1,20,36,0.0008314677426976707
1,20,37,0.0014767369726290892
1,20,38,0.002944586520013167
1,20,39,0.001308410393919563
1,20,40,0.0018814366696176818
1,20,41,0.0012800191020987462
1,20,42,0.000937156921064149
1,20,43,0.0022948281235484168
1,20,44,0.0006059379509041297
1,20,45,0.0005346280945839406
1,20,46,0.00021183397453549145
1,20,47,0.0
1,20,48,5.58392681534364e-05
1,21,1,0.001139253705562051
1,21,2,0.00024239341412557805
1,21,3,0.0
1,21,4,0.002856617746902262
1,21,5,0.0
1,21,6,0.0004480968275880234
1,21,7,0.0
1,21,8,0.0
1,21,9,0.0
1,21,10,0.0
1,21,11,0.0
1,21,12,0.0
1,21,13,0.0
1,21,14,0.0
1,21,15,0.0
1,21,16,0.0
1,21,17,0.0
1,21,18,0.0
1,21,19,0.0
1,21,20,0.0
1,21,21,0.0
1,21,22,7.703469608278822e-05
1,21,23,0.000225731665668683
1,21,24,0.000852764248859188
1,21,25,0.00033002265220677727
1,21,26,0.0006938945114227339
1,21,27,0.0002577593203214251
1,21,28,0.00033259243938136407
1,21,29,0.000684250178689804
1,21,30,0.0005473997922242567
1,21,31,0.00046729409443996587
1,21,32,0.00034798449634025505
1,21,33,0.0008223606929171302
1,21,34,0.000616770272703892
1,21,35,0.0018273232881067694
1,21,36,0.0016354549882558137
1,21,37,0.0004252305369349233
1,21,38,0.0004507442710683991
1,21,39,0.0020816965660248685
1,21,40,0.0006117263145831533
1,21,41,0.0009287023737122238
1,21,42,0.0009177765004942044
1,21,43,0.000579278451064303
1,21,44,0.0006039284971071659
1,21,45,0.00024108779780048452
1,21,46,0.00024108779780048452
1,21,47,0.000400369096650405
1,21,48,0.00034698672144548763
1,22,1,0.0003878317921868684
1,22,2,0.0
1,22,3,0.0
1,22,4,0.0005601190157958394
1,22,5,0.0
1,22,6,0.001736374332138757
1,22,7,0.0
1,22,8,0.0
1,22,9,0.0
1,22,10,0.0
1,22,11,0.0
1,22,12,0.0
1,22,13,0.0
1,22,14,0.0
1,22,15,0.0
1,22,16,0.0
1,22,17,0.0
1,22,18,0.0
1,22,19,0.0
1,22,20,0.0
1,22,21,0.0
1,22,22,0.0
1,22,23,0.00017556925185304017
1,22,24,6.688345947035333e-05
1,22,25,0.00022001537256187935
1,22,26,0.000550038024768755
1,22,27,0.00032427764837465023
1,22,28,0.0002577593203214251
1,22,29,0.00028282319675519403
1,22,30,0.0003466863012570014
1,22,31,0.00036786927010034644
1,22,32,0.00029827256194012793
1,22,33,0.0007298454483922832
1,22,34,0.0003597824944213506
1,22,35,0.0004202846987217971
1,22,36,0.0007583392479833492
1,22,37,0.001097094654515228
1,22,38,0.0005187808954244299
1,22,39,0.0006756387132207816
1,22,40,0.0008217221901439567
1,22,41,0.0007101838592917449
1,22,42,0.000950554120148263
1,22,43,0.0004806770823640861
1,22,44,0.0002958017370428169
1,22,45,0.0006654025443642107
1,22,46,7.714807675993891e-05
1,22,47,0.00022687637723442373
1,22,48,0.00036033231524671696
1,23,1,0.00010522590103978481
1,23,2,2.630641205376635e-05
1,23,3,0.0
1,23,4,0.0
1,23,5,0.0
1,23,6,0.0
1,23,7,0.0
1,23,8,0.0
1,23,9,0.0
1,23,10,0.0
1,23,11,0.0
1,23,12,0.0
1,23,13,0.0
1,23,14,0.0
1,23,15,0.0
1,23,16,0.0
1,23,17,0.0
1,23,18,0.0
1,23,19,0.0
1,23,20,0.0
1,23,21,0.0
1,23,22,0.0
1,23,23,9.073356580284925e-06
1,23,24,0.00014517457730336476
1,23,25,0.000266328910660169
1,23,26,0.00021122656003240187
1,23,27,0.00031583581559500005
1,23,28,0.0001263348465948169
1,23,29,4.950675527058736e-05
1,23,30,0.00021782983738151044
1,23,31,0.0002481767608242603
1,23,32,0.00023738651196346955
1,23,33,0.0004127760077975662
1,23,34,0.0007474594602088403
1,23,35,0.0005949457642560404
1,23,36,0.0018542483625474937
1,23,37,0.0016798347725802876
1,23,38,0.00045226331035509205
1,23,39,0.0003567184539877603
1,23,40,0.0005747134351021983
